OBJECTID,track,ypx_br,br_power_raw,surf_power_raw,ypx_surf,lat,lon,surf_elevation,region,lrz,fog,segment_id
53,46366,1603,0.000570991,0.133379,1472,-74.9574,181.726,1829.080811,UL,yes,yes,1.0
54,46366,1604,0.000744195,0.181387,1472,-74.966,181.7195,1829.994873,UL,yes,yes,1.0
55,46366,1605,0.00171699,0.147472,1472,-74.9733,181.714,1830.616821,UL,yes,yes,1.0
56,46366,1606,0.00113359,0.132076,1472,-74.9807,181.7084,1831.333618,UL,yes,yes,1.0
57,46366,1604,0.00276387,0.0570949,1472,-74.988,181.7028,1832.050415,UL,yes,yes,1.0
58,46366,1603,0.00174728,0.0887314,1472,-74.9966,181.6963,1832.882324,UL,yes,yes,1.0
59,46366,1602,0.0016823,0.117453,1471,-75.0039,181.6908,1833.0,UL,yes,yes,1.0
60,46366,1603,0.00154328,0.0951707,1471,-75.0112,181.6852,1833.220337,UL,yes,yes,1.0
61,46366,1600,0.000889784,0.0849244,1471,-75.0186,181.6796,1833.99353,UL,yes,yes,1.0
62,46366,1601,0.000641187,0.107918,1471,-75.0271,181.6731,1833.887207,UL,yes,yes,1.0
63,46366,1599,0.000552649,0.116066,1471,-75.0345,181.6676,1834.0,UL,yes,yes,1.0
64,46366,1600,0.000825339,0.1279,1471,-75.0418,181.662,1834.272705,UL,yes,yes,1.0
65,46366,1601,0.00033046,0.0939616,1471,-75.0492,181.6564,1835.580322,UL,yes,yes,1.0
66,46366,1601,0.000748258,0.09014,1471,-75.0577,181.6499,1836.557617,UL,yes,yes,1.0
67,46366,1600,0.000864461,0.0683641,1470,-75.0651,181.6444,1834.930054,UL,yes,yes,1.0
68,46366,1601,0.00101679,0.0582123,1470,-75.0724,181.6388,1835.392212,UL,yes,yes,1.0
69,46366,1602,0.00035284,0.129626,1470,-75.0797,181.6332,1837.938354,UL,yes,yes,1.0
70,46366,1600,0.000835088,0.0866293,1469,-75.0883,181.6267,1838.791016,UL,yes,yes,1.0
71,46366,1602,0.000788023,0.0840363,1469,-75.0956,181.6212,1840.024902,UL,yes,yes,1.0
72,46366,1599,0.000762667,0.101419,1469,-75.103,181.6156,1841.101074,UL,yes,yes,1.0
